mintime,lat,lon,alt,nic,velocity,heading,vertrate,nac,icao24
2019-09-11 16:59:34.873,34.8453276036149,-117.966899871826,4213.86,9,93.6076733404517,275.882880241856,3.57632,1,ae0943
2019-09-11 16:59:36.138,34.8454284667969,-117.968276666135,4221.48,9,93.6259813419469,275.992527447879,3.42547603603604,1,ae0943
2019-09-11 16:59:36.268,34.8454207080906,-117.968273162842,4221.48,9,93.6259813419469,275.992527447879,3.38739891891892,1,ae0943
2019-09-11 16:59:37.213,34.845560364804,-117.969417572021,4221.48,9,93.6259813419469,275.992527447879,3.2512,1,ae0943
2019-09-11 16:59:37.325,34.8455657958984,-117.969397720025,4221.48,9,93.627728991106,276.002451724863,3.2512,1,ae0943
2019-09-11 16:59:37.646,34.8456069170418,-117.969818115234,4221.48,9,93.6391778764136,276.067465865921,3.2512,1,ae0943
2019-09-11 16:59:37.721,34.8456115722656,-117.969790088887,4221.48,9,93.6418528496164,276.082656085794,3.2512,1,ae0943
2019-09-11 16:59:38.661,34.8457000215175,-117.970848083496,4229.1,9,93.6753791804238,276.273040174873,3.2512,1,ae0943
2019-09-11 16:59:38.769,34.845703125,-117.970855090083,4229.1,9,93.6792311418357,276.29491409149,3.2512,1,ae0943
2019-09-11 16:59:39.168,34.845703125,-117.971359564333,4229.1,9,93.6810857899229,276.305445977269,3.1510965039929,1,ae0943
2019-09-11 16:59:39.373,34.8457000215175,-117.971363067627,4229.1,9,93.6810857899229,276.305445977269,3.09195755102041,1,ae0943
2019-09-11 16:59:39.641,34.8457931259931,-117.971878051758,4229.1,9,93.6810857899229,276.305445977269,3.01464418811003,1,ae0943
2019-09-11 16:59:39.749,34.8457946777344,-117.971864038584,4229.1,9,93.6810857899229,276.305445977269,2.98348805678793,1,ae0943
2019-09-11 16:59:40.816,34.8458862304688,-117.973079681396,4236.72,9,93.6810857899229,276.305445977269,2.92608,1,ae0943
2019-09-11 16:59:40.928,34.8458862304688,-117.973097197863,4236.72,9,93.6810857899229,276.305445977269,2.92608,1,ae0943
2019-09-11 16:59:41.320,34.8459320068359,-117.973601672114,4236.72,9,93.6810857899229,276.305445977269,2.92608,1,ae0943
2019-09-11 16:59:41.412,34.8459327827066,-117.973594665527,4236.72,9,93.6817207020856,276.306268546746,2.92608,1,ae0943
2019-09-11 16:59:41.900,34.8459777832031,-117.974218251754,4236.72,9,93.7098877143963,276.342760719908,2.92608,1,ae0943
2019-09-11 16:59:42.056,34.8459793349444,-117.974224090576,4236.72,9,93.7188919232497,276.354426250673,2.92608,1,ae0943
2019-09-11 16:59:42.397,34.8460258871822,-117.974739074707,4236.72,9,93.7385742002946,276.379925904461,2.92608,1,ae0943
2019-09-11 16:59:42.428,34.8460235595703,-117.974722726005,4236.72,9,93.7403634982078,276.382244054805,2.92608,1,ae0943
2019-09-11 16:59:44.488,34.8462524414062,-117.976852728396,4244.34,9,93.8592652305026,276.536288884137,2.92608,1,ae0943
2019-09-11 16:59:44.652,34.8462586483713,-117.976856231689,4244.34,9,93.8687311936562,276.548552647249,2.92608,1,ae0943
2019-09-11 16:59:44.954,34.8462982177734,-117.977245097258,4244.34,9,93.8861624184878,276.571135918345,2.92608,1,ae0943
2019-09-11 16:59:45.092,34.8463052006091,-117.977256774902,4244.34,9,93.8941276801658,276.58145542633,2.92608,1,ae0943
2019-09-11 16:59:49.066,34.8466776185116,-117.981433868408,4251.96,9,94.1235041287774,276.878627344663,2.92608,1,ae0943
2019-09-11 16:59:50.517,34.8468475341797,-117.983018524793,4259.58,9,94.2072548149715,276.987131736585,2.92608,1,ae0943
2019-09-11 16:59:50.653,34.8468638274629,-117.98303604126,4259.58,9,94.2151046380744,276.997301686483,2.92608,1,ae0943
2019-09-11 16:59:51.605,34.8469569319386,-117.98412322998,4259.58,9,94.2700533997952,277.068491335767,2.92608,1,ae0943
2019-09-11 16:59:51.726,34.8469390869141,-117.984139578683,4259.58,9,94.2770374335853,277.077539600014,2.92608,1,ae0943
2019-09-11 16:59:52.111,34.8470306396484,-117.984644052934,4259.58,9,94.2992593592812,277.106329531709,2.92608,1,ae0943
2019-09-11 16:59:52.189,34.8470500364142,-117.984638214111,4259.58,9,94.3037614637079,277.112162297092,2.92608,1,ae0943
2019-09-11 16:59:59.506,34.8478546142578,-117.992211166693,4282.44,9,94.488079376038,277.741118399731,2.92608,1,ae0943
