mintime,lat,lon,alt,velocity,heading,vertrate,nic,nac,icao24
2019-09-17 07:00:30.050,35.0716094970703,-117.276250099649,4053.84,79.7985395207287,267.78320565926,0,9,0.651785714285714,ae0943
2019-09-17 07:00:30.375,35.0716180316472,-117.276592254639,4053.84,79.8834860712264,267.785551519654,0,9,0.165245901639344,ae0943
2019-09-17 07:00:30.464,35.0716094970703,-117.276586415816,4053.84,79.9134870354895,267.786380017968,0,9,0.223606557377049,ae0943
2019-09-17 07:00:30.739,35.0716094970703,-117.277034837372,4053.84,80.0061866441676,267.788939984669,0,9,0.403934426229508,ae0943
2019-09-17 07:00:30.900,35.0716180316472,-117.277050018311,4053.84,80.06045805143,267.790438728809,0,9,0.509508196721311,ae0943
2019-09-17 07:00:31.284,35.0715714794094,-117.277450561523,4053.84,80.1899004140932,267.79401337322,0,9,0.761311475409836,ae0943
2019-09-17 07:00:31.499,35.0715637207031,-117.277427206234,4053.84,80.2623746536052,267.796014801731,0,9,0.902295081967213,ae0943
2019-09-17 07:00:32.740,35.0715637207031,-117.278772470902,4053.84,80.2944748932459,268.164225259454,0.32512,9,1,ae0943
2019-09-17 07:00:32.945,35.0715714794094,-117.27876663208,4053.84,80.2944748932459,268.164225259454,0.400091428571429,9,1,ae0943
2019-09-17 07:00:33.284,35.0715179443359,-117.27910878707,4053.84,80.2944748932459,268.164225259454,0.524068571428571,9,1,ae0943
2019-09-17 07:00:33.299,35.0715249271716,-117.279109954834,4053.84,65.7018805407133,267.757348599414,0.529554285714286,9,0.179018563822133,ae0943
2019-09-17 07:00:33.299,35.0715249271716,-117.279109954834,4053.84,80.2944748932459,268.164225259454,0.529554285714286,9,1,ae0943
2019-09-17 07:00:34.299,35.0715013281316,-117.279940639365,4053.99997664392,83.6950138229499,268.220399398778,-0.130813009111298,9,0.179018563822133,ae0943
2019-09-17 07:00:35.299,35.0714785763791,-117.280903531353,4053.7359499593,89.7634725177506,268.410121742374,-0.318452371378641,9,0.179018563822133,ae0943
2019-09-17 07:00:36.299,35.0714558419845,-117.281867602748,4053.52064787868,83.9096613212301,268.22681073448,-0.0333638010877433,9,0.179018563822133,ae0943
2019-09-17 07:00:37.317,35.071431822696,-117.28271484375,4053.84,80.2944748932459,268.164225259454,0.742424532130778,9,1,ae0943
2019-09-17 07:00:37.347,35.0714263916016,-117.282696159518,4053.84,65.7019601029408,267.757351304416,0.747922615558061,9,0.204777665851202,ae0943
2019-09-17 07:00:37.347,35.0714263916016,-117.282696159518,4053.84,80.2944748932459,268.164225259454,0.747922615558061,9,1,ae0943
2019-09-17 07:00:38.347,35.0714016486781,-117.283535013637,4055.32352684201,85.0352831762496,268.09452222536,2.07031044839353,9,0.204777665851202,ae0943
2019-09-17 07:00:39.347,35.0713768319183,-117.28451563622,4057.68297965664,91.5093229105721,268.335831702534,2.49977456078391,9,0.204777665851202,ae0943
2019-09-17 07:00:40.347,35.0713542303179,-117.285496839466,4060.02543472343,85.126558941291,268.412398908681,2.03631495272918,9,0.204777665851202,ae0943
2019-09-17 07:00:41.347,35.071334890091,-117.286337416325,4061.45796832195,65.886350508521,268.346825981277,0.679931624229362,9,0.204777665851202,ae0943
2019-09-17 07:00:41.350,35.0713348388672,-117.286339584662,4061.46,80.4347287250927,268.646590153597,0.674519070506455,9,0.308440913604767,ae0943
2019-09-17 07:00:41.531,35.0713387182203,-117.286319732666,4061.46,80.4528039371052,268.660038799511,0.639456476663357,9,0.344389275074479,ae0943
2019-09-17 07:00:44.463,35.0712921659825,-117.289066314697,4061.46,80.745602399097,268.87789200294,0.0714811996027806,9,0.926713008937438,ae0943
2019-09-17 07:00:44.496,35.0712890625,-117.289086166693,4061.46,80.7488978797402,268.880343966008,0.0650885719960278,9,0.933267130089374,ae0943
2019-09-17 07:00:45.563,35.0712921659825,-117.290096282959,4061.46,80.7824518644705,268.905309408147,0,9,0.626283367556468,ae0943
2019-09-17 07:00:45.572,35.0712890625,-117.290095115195,4061.46,80.7824518644705,268.905309408147,0,9,0.635523613963039,ae0943
2019-09-17 07:00:45.822,35.0712856577258,-117.290281615113,4061.4619771782,69.7617366852174,268.780637715879,0.0154835556273677,9,0.0327067669172932,ae0943
2019-09-17 07:00:46.822,35.0712739083826,-117.291115725533,4061.50108270485,81.354794507964,269.224325308296,0.0573855774804202,9,0.0327067669172932,ae0943
2019-09-17 07:00:47.822,35.0712659706711,-117.292050062767,4061.56606449282,88.0028587825347,269.557361610465,0.0672360782832031,9,0.0327067669172932,ae0943
